timestamp,header,seq,stamp,secs,nsecs,frame_id,unit,voltage,reading
1613697738718720434,,53,,1613697738,716217041,'','',0.00879120919853,0.0
1613697738969200018,,54,,1613697738,966587066,'','',0.00615384615958,0.0
1613697739218966643,,55,,1613697739,216329097,'','',0.00747252767906,0.0
1613697739472782893,,56,,1613697739,471152067,'','',0.00527472514659,0.0
1613697739718903101,,57,,1613697739,716694116,'','',0.00703296763822,0.0
1613697739970187184,,58,,1613697739,967545032,'','',0.00395604409277,0.0
1613697740218285060,,59,,1613697740,216124057,'','',0.00571428565308,0.0
1613697740472748351,,60,,1613697740,470873117,'','',0.00527472514659,0.0
1613697740720233018,,61,,1613697740,718390941,'','',0.00615384615958,0.0
1613697740967884810,,62,,1613697740,966219902,'','',0.00659340666607,0.0
1613697741220065810,,63,,1613697741,218046903,'','',0.00791208818555,0.0
1613697741468179435,,64,,1613697741,466321945,'','',0.00791208818555,0.0
1613697741718099976,,65,,1613697741,716108083,'','',0.00483516510576,0.0
1613697741968534893,,66,,1613697741,966681957,'','',0.00747252767906,0.0
1613697742223995893,,67,,1613697742,221951961,'','',0.0101098902524,0.0
1613697742468549018,,68,,1613697742,466419935,'','',0.00527472514659,0.0
1613697742720042351,,69,,1613697742,718144893,'','',0.00351648381911,0.0
1613697742970952393,,70,,1613697742,969188928,'','',0.00747252767906,0.0
1613697743218295352,,71,,1613697743,216166019,'','',0.00967033021152,0.0
1613697743468737768,,72,,1613697743,466264009,'','',0.00703296763822,0.0
1613697743718576810,,73,,1613697743,716180086,'','',0.00791208818555,0.0
1613697743969019602,,74,,1613697743,966264963,'','',0.00659340666607,0.0
1613697744220644643,,75,,1613697744,218878984,'','',0.0123076923192,0.0
1613697744468826727,,76,,1613697744,466427087,'','',0.00219780229963,0.0
1613697744718895643,,77,,1613697744,716561079,'','',0.00879120919853,0.0
1613697744972410518,,78,,1613697744,969945907,'','',0.00571428565308,0.0
1613697745219704602,,79,,1613697745,217386960,'','',0.00791208818555,0.0
1613697745468376977,,80,,1613697745,466780900,'','',0.00923076923937,0.0
1613697745719729352,,81,,1613697745,717725992,'','',0.00659340666607,0.0
1613697745968540560,,82,,1613697745,966268062,'','',0.00659340666607,0.0
1613697746219786144,,83,,1613697746,216227054,'','',0.00747252767906,0.0
1613697746468342144,,84,,1613697746,466298103,'','',0.00703296763822,0.0
1613697746718178769,,85,,1613697746,716197967,'','',0.00747252767906,0.0
1613697746969716602,,86,,1613697746,966995000,'','',0.00703296763822,0.0
1613697747218155602,,87,,1613697747,216368913,'','',0.00659340666607,0.0
1613697747469298435,,88,,1613697747,467370033,'','',0.00747252767906,0.0
1613697747718394769,,89,,1613697747,716155052,'','',0.00571428565308,0.0
1613697747969106894,,90,,1613697747,966445922,'','',0.00703296763822,0.0
1613697748218138394,,91,,1613697748,216146945,'','',0.00659340666607,0.0
1613697748467976935,,92,,1613697748,466254949,'','',0.00659340666607,0.0
1613697748718955186,,93,,1613697748,717160940,'','',0.00659340666607,0.0
1613697748971782727,,94,,1613697748,968688011,'','',0.00483516510576,0.0
1613697749222181644,,95,,1613697749,219278097,'','',0.00659340666607,0.0
1613697749468266186,,96,,1613697749,466665029,'','',0.00571428565308,0.0
1613697749720074769,,97,,1613697749,718385934,'','',0.00703296763822,0.0
1613697749968106936,,98,,1613697749,966201066,'','',0.00615384615958,0.0
1613697750218437269,,99,,1613697750,216202020,'','',0.00747252767906,0.0
1613697750469842394,,100,,1613697750,468002080,'','',0.0,0.0
1613697750718136561,,101,,1613697750,716286897,'','',0.00703296763822,0.0
1613697750967987352,,102,,1613697750,966356992,'','',0.00923076923937,0.0
1613697751218237061,,103,,1613697751,216408014,'','',0.00351648381911,0.0
1613697751468181561,,104,,1613697751,466463088,'','',0.00659340666607,0.0
1613697751718617978,,105,,1613697751,717003107,'','',0.00879120919853,0.0
1613697751970345186,,106,,1613697751,968302965,'','',0.00879120919853,0.0
1613697752218343186,,107,,1613697752,216444015,'','',0.00747252767906,0.0
1613697752468014769,,108,,1613697752,466259956,'','',0.00835164822638,0.0
1613697752718480353,,109,,1613697752,716474056,'','',0.0118681322783,0.0
1613697752968119519,,110,,1613697752,966267108,'','',0.00747252767906,0.0
1613697753218805769,,111,,1613697753,216250896,'','',0.00747252767906,0.0
1613697753468059394,,112,,1613697753,466459989,'','',0.00571428565308,0.0
1613697753719642061,,113,,1613697753,717753887,'','',0.00835164822638,0.0
1613697753976503228,,114,,1613697753,974387884,'','',0.0101098902524,0.0
1613697754220678936,,115,,1613697754,219054937,'','',0.00967033021152,0.0
1613697754468336478,,116,,1613697754,466474056,'','',0.0153846163303,0.0
1613697754718130103,,117,,1613697754,716123104,'','',0.00659340666607,0.0
1613697754968191561,,118,,1613697754,966587066,'','',0.00527472514659,0.0
1613697755218759978,,119,,1613697755,216234922,'','',0.01274725236,0.0
1613697755468163353,,120,,1613697755,466294050,'','',0.00439560459927,0.0
1613697755718599228,,121,,1613697755,716134071,'','',0.00659340666607,0.0
1613697755968164145,,122,,1613697755,966227054,'','',0.00747252767906,0.0
1613697756218422853,,123,,1613697756,216161012,'','',0.00703296763822,0.0
1613697756468236603,,124,,1613697756,466375112,'','',0.0109890112653,0.0
1613697756718366936,,125,,1613697756,716202974,'','',0.00615384615958,0.0
1613697756968650478,,126,,1613697756,966516017,'','',0.00615384615958,0.0
1613697757218920145,,127,,1613697757,216315031,'','',0.00747252767906,0.0
1613697757469792812,,128,,1613697757,466698884,'','',0.00791208818555,0.0
1613697757718706978,,129,,1613697757,716698884,'','',0.00351648381911,0.0
1613697757968441812,,130,,1613697757,966281890,'','',0.00879120919853,0.0
1613697758225528520,,131,,1613697758,216316938,'','',0.00879120919853,0.0
1613697758468341478,,132,,1613697758,466665029,'','',0.00571428565308,0.0
1613697758719701437,,133,,1613697758,716365098,'','',0.00615384615958,0.0
1613697758967983687,,134,,1613697758,966274976,'','',0.00659340666607,0.0
1613697759218858687,,135,,1613697759,216233968,'','',0.00923076923937,0.0
1613697759471047895,,136,,1613697759,468797922,'','',0.01274725236,0.0
1613697759721632353,,137,,1613697759,719187021,'','',0.00879120919853,0.0
1613697759968054104,,138,,1613697759,966192960,'','',0.00747252767906,0.0
1613697760218338145,,139,,1613697760,216547012,'','',0.00659340666607,0.0
1613697760468317437,,140,,1613697760,466289043,'','',0.00791208818555,0.0
1613697760719775895,,141,,1613697760,716187953,'','',0.00703296763822,0.0
1613697760968102604,,142,,1613697760,966495990,'','',0.00923076923937,0.0
1613697761218431854,,143,,1613697761,216101884,'','',0.00659340666607,0.0
1613697761468117354,,144,,1613697761,466279983,'','',0.00527472514659,0.0
1613697761718291979,,145,,1613697761,716160058,'','',0.00747252767906,0.0
1613697761968278437,,146,,1613697761,966619014,'','',0.00703296763822,0.0
1613697762218786645,,147,,1613697762,216764926,'','',0.00483516510576,0.0
1613697762471901979,,148,,1613697762,469763994,'','',0.00967033021152,0.0
1613697762718962646,,149,,1613697762,717187881,'','',0.00571428565308,0.0
1613697762968117396,,150,,1613697762,966265916,'','',0.00923076923937,0.0
1613697763218576771,,151,,1613697763,216185092,'','',0.00791208818555,0.0
1613697763468298146,,152,,1613697763,466263055,'','',0.00747252767906,0.0
1613697763721302062,,153,,1613697763,719341039,'','',0.00571428565308,0.0
1613697763973486271,,154,,1613697763,971308946,'','',0.00791208818555,0.0
1613697764219186729,,155,,1613697764,216295957,'','',0.00747252767906,0.0
1613697764468204396,,156,,1613697764,466173887,'','',0.00615384615958,0.0
1613697764719084562,,157,,1613697764,717333078,'','',0.0118681322783,0.0
1613697764968700187,,158,,1613697764,967098951,'','',0.0109890112653,0.0
1613697765217993687,,159,,1613697765,216087102,'','',0.00615384615958,0.0
1613697765471868229,,160,,1613697765,469917058,'','',0.0114285713062,0.0
1613697765721027604,,161,,1613697765,718743085,'','',0.0123076923192,0.0
1613697765970198313,,162,,1613697765,967511892,'','',0.01274725236,0.0
1613697766218384229,,163,,1613697766,216602087,'','',0.0131868133321,0.0
1613697766470014313,,164,,1613697766,467788934,'','',0.00791208818555,0.0
1613697766718403646,,165,,1613697766,716206073,'','',0.00923076923937,0.0
1613697766969016813,,166,,1613697766,966300964,'','',0.00527472514659,0.0
1613697767218199188,,167,,1613697767,216140985,'','',0.00571428565308,0.0
1613697767468158813,,168,,1613697767,466451883,'','',0.00703296763822,0.0
1613697767721679813,,169,,1613697767,719912052,'','',0.0109890112653,0.0
1613697767968475646,,170,,1613697767,966372013,'','',0.00615384615958,0.0
1613697768218347021,,171,,1613697768,216120958,'','',0.00879120919853,0.0
1613697768467896355,,172,,1613697768,466217041,'','',0.0,0.0
1613697768718128438,,173,,1613697768,716187953,'','',0.00571428565308,0.0
1613697768967953980,,174,,1613697768,966334104,'','',0.00615384615958,0.0
1613697769217976938,,175,,1613697769,216197013,'','',0.00747252767906,0.0
1613697769467943896,,176,,1613697769,466262102,'','',0.00615384615958,0.0
1613697769718107480,,177,,1613697769,716142892,'','',0.00659340666607,0.0
1613697769967942313,,178,,1613697769,966272115,'','',0.00747252767906,0.0
1613697770218084646,,179,,1613697770,216140985,'','',0.00571428565308,0.0
1613697770467996188,,180,,1613697770,466327905,'','',0.0158241763711,0.0
1613697770718038105,,181,,1613697770,716152906,'','',0.00747252767906,0.0
1613697770968334438,,182,,1613697770,966701984,'','',0.00439560459927,0.0
1613697771218822647,,183,,1613697771,216723918,'','',0.0118681322783,0.0
1613697771468727272,,184,,1613697771,466903924,'','',0.00659340666607,0.0
1613697771718600522,,185,,1613697771,716087102,'','',0.00791208818555,0.0
1613697771969308938,,186,,1613697771,966427087,'','',0.00703296763822,0.0
1613697772219214522,,187,,1613697772,216692924,'','',0.00307692307979,0.0
1613697772468326605,,188,,1613697772,466276884,'','',0.00615384615958,0.0
1613697772719251480,,189,,1613697772,717215061,'','',0.00571428565308,0.0
1613697772971803272,,190,,1613697772,968549013,'','',0.00659340666607,0.0
1613697773218489688,,191,,1613697773,216393947,'','',0.00571428565308,0.0
1613697773468542897,,192,,1613697773,466669082,'','',0.00659340666607,0.0
1613697773718712313,,193,,1613697773,716470003,'','',0.00791208818555,0.0
1613697773969239855,,194,,1613697773,967231035,'','',0.00483516510576,0.0
1613697774218039897,,195,,1613697774,216088056,'','',0.00791208818555,0.0
1613697774468969189,,196,,1613697774,466378927,'','',0.00615384615958,0.0
1613697774719011647,,197,,1613697774,717155933,'','',0.00659340666607,0.0
1613697774970170230,,198,,1613697774,967386007,'','',0.00747252767906,0.0
1613697775219177772,,199,,1613697775,216202020,'','',0.00879120919853,0.0
1613697775469485147,,200,,1613697775,466871023,'','',0.00923076923937,0.0
1613697775718292689,,201,,1613697775,716178894,'','',0.00747252767906,0.0
1613697775969302105,,202,,1613697775,966645956,'','',0.00791208818555,0.0
1613697776220215355,,203,,1613697776,217919111,'','',0.00747252767906,0.0
1613697776472725397,,204,,1613697776,470290899,'','',0.00967033021152,0.0
1613697776718680147,,205,,1613697776,716478109,'','',0.00923076923937,0.0
1613697776971305939,,206,,1613697776,968281030,'','',0.013626373373,0.0
1613697777223825606,,207,,1613697777,219826936,'','',0.00615384615958,0.0
1613697777477321606,,208,,1613697777,475445032,'','',0.00791208818555,0.0
1613697777731891939,,209,,1613697777,730120897,'','',0.0101098902524,0.0
1613697777973018772,,210,,1613697777,970380067,'','',0.00483516510576,0.0
1613697778221152897,,211,,1613697778,218820095,'','',0.00615384615958,0.0
1613697778467887064,,212,,1613697778,466218948,'','',0.00791208818555,0.0
1613697778718608022,,213,,1613697778,716706991,'','',0.00967033021152,0.0
1613697779008337397,,214,,1613697778,969415903,'','',0.00483516510576,0.0
1613697779228752272,,215,,1613697779,226507902,'','',0.00571428565308,0.0
1613697779469923231,,216,,1613697779,467698097,'','',0.00439560459927,0.0
1613697779720141564,,217,,1613697779,718339920,'','',0.00835164822638,0.0
1613697779968199898,,218,,1613697779,966392993,'','',0.00703296763822,0.0
1613697780223731189,,219,,1613697780,219638109,'','',0.00791208818555,0.0
1613697780471615398,,220,,1613697780,469633102,'','',0.00703296763822,0.0
1613697780719107481,,221,,1613697780,716572999,'','',0.00703296763822,0.0
1613697780970140439,,222,,1613697780,968110084,'','',0.00791208818555,0.0
1613697781218602648,,223,,1613697781,216455936,'','',0.00571428565308,0.0
1613697781468665856,,224,,1613697781,466351985,'','',0.00571428565308,0.0
1613697781726723231,,225,,1613697781,718177080,'','',0.0109890112653,0.0
1613697781970908314,,226,,1613697781,968247890,'','',0.00659340666607,0.0
1613697782220275106,,227,,1613697782,218255996,'','',0.00835164822638,0.0
1613697782469646856,,228,,1613697782,467756032,'','',0.00615384615958,0.0
1613697782719993148,,229,,1613697782,717722892,'','',0.0158241763711,0.0
1613697782969640523,,230,,1613697782,967710018,'','',0.00703296763822,0.0
1613697783219131648,,231,,1613697783,216252088,'','',0.00659340666607,0.0
1613697783468278940,,232,,1613697783,466492891,'','',0.0101098902524,0.0
1613697783724217523,,233,,1613697783,720635890,'','',0.00219780229963,0.0
1613697783968629106,,234,,1613697783,966242074,'','',0.00835164822638,0.0
1613697784219555398,,235,,1613697784,217278957,'','',0.00835164822638,0.0
1613697784469439940,,236,,1613697784,466806888,'','',0.00879120919853,0.0
1613697784722041815,,237,,1613697784,718848943,'','',0.00791208818555,0.0
1613697784973041898,,238,,1613697784,969183921,'','',0.00615384615958,0.0
1613697785219040315,,239,,1613697785,216484069,'','',0.00879120919853,0.0
1613697785469935732,,240,,1613697785,466732978,'','',0.00879120919853,0.0
1613697785720416190,,241,,1613697785,716638088,'','',0.01274725236,0.0
1613697785971206232,,242,,1613697785,968672990,'','',0.00659340666607,0.0
1613697786221325482,,243,,1613697786,219280958,'','',0.00439560459927,0.0
1613697786472437523,,244,,1613697786,468106031,'','',0.00923076923937,0.0
1613697786722005773,,245,,1613697786,716753959,'','',0.00747252767906,0.0
1613697786969105648,,246,,1613697786,966381072,'','',0.00835164822638,0.0
1613697787219206273,,247,,1613697787,217375993,'','',0.00527472514659,0.0
1613697787468693273,,248,,1613697787,467019081,'','',0.00747252767906,0.0
1613697787720076773,,249,,1613697787,716674089,'','',0.00791208818555,0.0
1613697787968811440,,250,,1613697787,966515064,'','',0.00439560459927,0.0
1613697788226488690,,251,,1613697788,224085092,'','',0.00703296763822,0.0
1613697788471147274,,252,,1613697788,466895103,'','',0.00659340666607,0.0
