timestamp,data,secs,nsecs
1582136531756316026,,231985,161511702
1582136532755161730,,231986,160296992
1582136533755894285,,231987,161067586
1582136534756166324,,231988,161306377
1582136535755987263,,231989,161121650
1582136536755547677,,231990,160315084
1582136537756642169,,231991,161550110
1582136538755342589,,231992,160377440
1582136539755799201,,231993,160988210
1582136540756455552,,231994,161515276
1582136541756636180,,231995,161735360
1582136542755550255,,231996,160716015
1582136543756813571,,231997,161743220
1582136544756672593,,231998,161255928
1582136545756831389,,231999,161887238
1582136546757362080,,232000,162243481
1582136547755379665,,232001,160363019
1582136548756233422,,232002,161427680
1582136549756302556,,232003,161493231
1582136550755337042,,232004,160532467
1582136551755315598,,232005,160540813
1582136552755589013,,232006,160449957
1582136553756192367,,232007,161390334
1582136554756383662,,232008,161335559
1582136555755132164,,232009,160331130
1582136556756329776,,232010,161508618
1582136557755894315,,232011,161092448
1582136558755179369,,232012,160360045
1582136559755448660,,232013,160506801
1582136560756369496,,232014,161375432
1582136561755923619,,232015,160988427
1582136562755923966,,232016,160971525
1582136563755891066,,232017,161076200
1582136564755958493,,232018,161151501
1582136565755701730,,232019,160902572
1582136566756244547,,232020,161159655
1582136567756286225,,232021,161078715
1582136568755406373,,232022,160592674
1582136569756378041,,232023,161532510
1582136570755290576,,232024,160489126
1582136571755978093,,232025,161138936
1582136572755146238,,232026,160394910
1582136573755607810,,232027,160850732
1582136574756366698,,232028,161434047
1582136575756334172,,232029,161459226
1582136576756667251,,232030,161457575
1582136577756638351,,232031,161342096
1582136578755336940,,232032,160538823
1582136579755325289,,232033,160506465
1582136580755359386,,232034,160557061
1582136581755101165,,232035,160278300
1582136582755952048,,232036,161141015
1582136583756408371,,232037,161603796
1582136584755284367,,232038,160484958
1582136585756313281,,232039,161523414
1582136586756129640,,232040,161060872
1582136587755887128,,232041,160929353
1582136588755491999,,232042,160445021
1582136589756340257,,232043,161189785
1582136590755189505,,232044,160256854
1582136591755488503,,232045,160271160
1582136592755570556,,232046,160540994
1582136593756042127,,232047,161085478
1582136594755899651,,232048,161090993
1582136595755366072,,232049,160555289
1582136596755790355,,232050,160763043
1582136597756314091,,232051,161486226
1582136598755902630,,232052,160831695
1582136599755952351,,232053,161123403
1582136600756048320,,232054,161089587
1582136601756018504,,232055,161028273
1582136602756141679,,232056,161238777
1582136603755862253,,232057,161062053
1582136604755680737,,232058,160878204
1582136605755992402,,232059,161168328
1582136606756108037,,232060,161305420
1582136607756359830,,232061,161193651
1582136608756559376,,232062,161234873
